0.0265,0.0000,0.0265, 10000,169,0,0,0,1,1921,0,0,0,0,0,0,1,1396711,0.000, 1
0.0451,0.0000,0.0251, 10000,1012,0,0,0,2,169,0,0,0,0,0,0,1,1397045,0.000, 1
0.1236,0.0006,0.0258, 10301,5100,0,0,0,5,2974,0,0,0,0,0,0,1,1279580,0.058, 1
0.1383,0.0000,0.0250, 10301,5871,0,0,0,9,3076,0,0,0,0,0,0,1,1279580,0.053, 1
0.1527,0.0000,0.0250, 10905,7360,0,0,0,13,3059,0,0,0,0,0,0,1,1341332,0.048, 1
0.1620,0.0006,0.0256, 11166,7550,0,0,0,16,2812,0,0,0,0,0,0,1,1436426,0.036, 1
0.1704,0.0004,0.0254, 11166,6332,0,0,0,19,2524,0,0,0,0,0,0,1,1436426,0.025, 1
0.1823,0.0008,0.0258, 11759,3330,0,0,0,23,4014,0,0,0,0,0,0,1,1529707,0.017, 1
0.1919,0.0002,0.0252, 11759,5060,0,0,0,26,2318,0,0,0,0,0,0,1,1529707,0.007, 1
0.2213,0.0001,0.0251, 12494,3254,0,994709,0,33,6225,0,344076,994709,1650725,0,0,1,1735221,0.016, 1
0.2300,0.0002,0.0252, 12494,3299,0,994709,0,36,2242,0,344076,994709,1650725,0,0,1,1735221,0.005, 1
0.2544,0.0002,0.0252, 12942,5060,0,994709,0,40,3299,0,344076,994709,1650725,0,0,1,1898720,0.009, 1
0.2825,0.0003,0.0254, 13374,5820,0,994709,0,46,5517,0,344076,994709,1650725,0,0,1,2008815,0.017, 1
0.2927,0.0006,0.0256, 13374,6072,0,994709,0,50,3796,0,344076,994709,1650725,0,0,1,2008815,0.007, 1
0.3183,0.0001,0.0251, 14134,4802,0,1366188,0,57,6234,0,808922,1366188,1657388,0,0,1,2242372,0.013, 1
0.3340,0.0006,0.0256, 14478,5611,0,1366188,0,62,4802,0,808922,1366188,1657388,0,0,1,2423984,0.009, 1
0.3584,0.0004,0.0254, 14872,6268,0,1366188,0,68,5611,0,808922,1366188,1657388,0,0,1,2520689,0.013, 1
0.3792,0.0001,0.0252, 15300,6536,0,1366188,0,75,6268,0,808922,1366188,1657388,0,0,1,2733020,0.014, 1
0.3979,0.0004,0.0254, 15735,7047,0,1366188,0,82,6536,0,808922,1366188,1657388,0,0,1,2810723,0.013, 1
0.4177,0.0008,0.0258, 16191,5782,0,1916926,0,89,7047,0,1425207,1916926,2323673,0,0,1,3004717,0.012, 1
0.4349,0.0005,0.0256, 16556,8096,0,1916926,0,95,5782,0,1425207,1916926,2323673,0,0,1,3072453,0.010, 1
0.4620,0.0006,0.0256, 17165,8122,0,1916926,0,105,9849,0,1425207,1916926,2323673,0,0,1,3300805,0.017, 1
0.4729,0.0000,0.0250, 17165,9758,0,1916926,0,112,6098,0,1425207,1916926,2323673,0,0,1,3300805,0.008, 1
0.4976,0.0005,0.0255, 18114,7958,0,1916926,0,122,9758,0,1425207,1916926,2323673,0,0,1,3601849,0.012, 1
0.5150,0.0007,0.0257, 18568,9122,0,2564636,0,130,7958,0,2274505,2564636,3059657,0,0,1,3692124,0.010, 1
0.5394,0.0000,0.0250, 19077,9571,0,2564636,0,140,9122,0,2274505,2564636,3059657,0,0,1,3913202,0.015, 1
0.5583,0.0004,0.0254, 19599,10263,0,2564636,0,150,9571,0,2274505,2564636,3059657,0,0,1,4020278,0.013, 1
0.5788,0.0001,0.0251, 20145,10800,0,2564636,0,161,10263,0,2274505,2564636,3059657,0,0,1,4253620,0.014, 1
0.5983,0.0005,0.0255, 20707,8968,0,2564636,0,172,10800,0,2274505,2564636,3059657,0,0,1,4372287,0.013, 1
0.6152,0.0007,0.0257, 21162,12166,0,3291878,0,181,8968,0,2955404,3291878,3778834,0,0,1,4586465,0.010, 1
0.6399,0.0000,0.0250, 21770,13057,0,3291878,0,194,12166,0,2955404,3291878,3778834,0,0,1,4718237,0.015, 1
0.6575,0.0007,0.0257, 21770,12123,0,3291878,0,206,12045,0,2955404,3291878,3778834,0,0,1,4718237,0.012, 1
0.6775,0.0008,0.0258, 22952,9946,0,3291878,0,218,12123,0,2955404,3291878,3778834,0,0,1,5094903,0.012, 1
0.6952,0.0007,0.0257, 23417,14168,0,3291878,0,228,9946,0,2955404,3291878,3778834,0,0,1,5311646,0.010, 1
0.7220,0.0008,0.0258, 24166,14900,0,4326852,0,244,16192,0,3710294,4326852,4407466,0,0,0,5587291,0.017, 1
0.7226,0.0006,0.0256, 24166,14209,0,4326852,0,245,691,0,3710294,4326852,4407466,0,0,1,5587291,0.017, 1
0.7327,0.0002,0.0252, 24166,17115,0,4326852,0,256,10161,0,3710294,4326852,4407466,0,0,1,5587291,0.008, 1
0.7575,0.0012,0.0262, 25389,14017,0,4326852,0,272,16192,0,3710294,4326852,4407466,0,0,0,5973477,0.012, 1
