0.0268, 0, 0.0016, 197.6419, 197.6404
0.0268, 1, 0.0016, 197.6419, 197.6404
0.0468, 2, 0.0215, 197.6619, 197.6404
0.0468, 3, 0.0215, 197.6619, 197.6404
0.0732, 4, 0.0415, 197.6825, 197.6410
0.0732, 5, 0.0480, 197.6883, 197.6403
0.0941, 6, 0.0652, 197.7063, 197.6411
0.0941, 7, 0.0689, 197.7093, 197.6403
0.1141, 8, 0.0851, 197.7262, 197.6411
0.1141, 9, 0.0888, 197.7291, 197.6403
0.1305, 10, 0.1052, 197.7457, 197.6405
0.1340, 11, 0.1089, 197.7492, 197.6403
0.1507, 12, 0.1252, 197.7658, 197.6406
0.1540, 13, 0.1287, 197.7691, 197.6403
0.1703, 14, 0.1450, 197.7854, 197.6404
0.1738, 15, 0.1485, 197.7889, 197.6403
0.1914, 16, 0.1652, 197.8061, 197.6409
0.1939, 17, 0.1686, 197.8090, 197.6403
0.2109, 18, 0.1850, 197.8256, 197.6406
0.2156, 19, 0.1885, 197.8297, 197.6411
0.2173, 20, 0.1921, 197.8324, 197.6403
0.2302, 21, 0.2049, 197.8453, 197.6404
0.2356, 22, 0.2087, 197.8497, 197.6410
0.2374, 23, 0.2121, 197.8524, 197.6403
0.2504, 24, 0.2249, 197.8654, 197.6405
0.2560, 25, 0.2282, 197.8688, 197.6405
0.2612, 26, 0.2316, 197.8724, 197.6407
0.2612, 27, 0.2348, 197.8753, 197.6405
0.2632, 28, 0.2380, 197.8783, 197.6403
0.2708, 29, 0.2448, 197.8858, 197.6409
0.2763, 30, 0.2481, 197.8891, 197.6410
0.2814, 31, 0.2513, 197.8925, 197.6412
0.2814, 32, 0.2545, 197.8954, 197.6410
0.2829, 33, 0.2576, 197.8979, 197.6403
0.2904, 34, 0.2646, 197.9054, 197.6407
0.2962, 35, 0.2681, 197.9088, 197.6408
0.3011, 36, 0.2711, 197.9122, 197.6411
0.3011, 37, 0.2741, 197.9151, 197.6410
0.3024, 38, 0.2771, 197.9175, 197.6403
0.3100, 39, 0.2845, 197.9251, 197.6406
0.3156, 40, 0.2873, 197.9282, 197.6409
0.3202, 41, 0.2903, 197.9313, 197.6410
0.3202, 42, 0.2937, 197.9342, 197.6405
0.3220, 43, 0.2967, 197.9370, 197.6403
0.3304, 44, 0.3044, 197.9453, 197.6409
0.3358, 45, 0.3071, 197.9474, 197.6404
0.3358, 46, 0.3100, 197.9504, 197.6404
0.3404, 47, 0.3132, 197.9544, 197.6413
0.3439, 48, 0.3159, 197.9570, 197.6412
0.3439, 49, 0.3186, 197.9590, 197.6403
0.3501, 50, 0.3242, 197.9649, 197.6407
0.3550, 51, 0.3268, 197.9680, 197.6412
0.3600, 52, 0.3299, 197.9712, 197.6413
0.3600, 53, 0.3330, 197.9741, 197.6411
0.3639, 54, 0.3359, 197.9769, 197.6411
0.3639, 55, 0.3386, 197.9789, 197.6403
0.3696, 56, 0.3441, 197.9846, 197.6405
0.3748, 57, 0.3465, 197.9877, 197.6412
0.3797, 58, 0.3494, 197.9899, 197.6405
0.3797, 59, 0.3522, 197.9928, 197.6406
0.3830, 60, 0.3547, 197.9960, 197.6413
0.3830, 61, 0.3577, 197.9980, 197.6404
0.3896, 62, 0.3641, 198.0043, 197.6403
0.3947, 63, 0.3664, 198.0075, 197.6411
0.3995, 64, 0.3691, 198.0096, 197.6405
0.3995, 65, 0.3715, 198.0126, 197.6411
0.3995, 66, 0.3740, 198.0145, 197.6405
0.4020, 67, 0.3766, 198.0170, 197.6403
0.4093, 68, 0.3838, 198.0241, 197.6404
0.4142, 69, 0.3859, 198.0263, 197.6404
0.4142, 70, 0.3883, 198.0293, 197.6409
0.4193, 71, 0.3906, 198.0314, 197.6409
0.4193, 72, 0.3932, 198.0344, 197.6411
0.4232, 73, 0.3957, 198.0364, 197.6407
0.4232, 74, 0.3980, 198.0383, 197.6404
0.4293, 75, 0.4037, 198.0444, 197.6407
0.4347, 76, 0.4057, 198.0468, 197.6411
0.4347, 77, 0.4083, 198.0488, 197.6405
0.4399, 78, 0.4104, 198.0510, 197.6406
0.4399, 79, 0.4129, 198.0540, 197.6410
0.4424, 80, 0.4150, 198.0555, 197.6404
0.4424, 81, 0.4171, 198.0574, 197.6403
0.4489, 82, 0.4236, 198.0639, 197.6404
0.4542, 83, 0.4255, 198.0663, 197.6408
0.4542, 84, 0.4274, 198.0682, 197.6409
0.4594, 85, 0.4294, 198.0696, 197.6402
0.4594, 86, 0.4314, 198.0726, 197.6412
0.4594, 87, 0.4333, 198.0745, 197.6412
0.4624, 88, 0.4352, 198.0765, 197.6413
0.4624, 89, 0.4371, 198.0775, 197.6403
0.4692, 90, 0.4435, 198.0842, 197.6407
0.4743, 91, 0.4454, 198.0863, 197.6409
0.4743, 92, 0.4474, 198.0883, 197.6409
0.4793, 93, 0.4492, 198.0904, 197.6412
0.4793, 94, 0.4512, 198.0924, 197.6412
0.4793, 95, 0.4531, 198.0943, 197.6412
0.4822, 96, 0.4550, 198.0963, 197.6413
0.4822, 97, 0.4569, 198.0972, 197.6403
0.4888, 98, 0.4633, 198.1038, 197.6405
0.4938, 99, 0.4651, 198.1059, 197.6409
0.4938, 100, 0.4669, 198.1079, 197.6410
0.4989, 101, 0.4691, 198.1100, 197.6409
0.4989, 102, 0.4709, 198.1120, 197.6411
0.4989, 103, 0.4731, 198.1139, 197.6408
0.5024, 104, 0.4749, 198.1155, 197.6406
0.5024, 105, 0.4771, 198.1175, 197.6403
0.5092, 106, 0.4833, 198.1240, 197.6408
0.5141, 107, 0.4849, 198.1262, 197.6413
0.5141, 108, 0.4866, 198.1272, 197.6405
0.5141, 109, 0.4884, 198.1291, 197.6407
0.5191, 110, 0.4901, 198.1312, 197.6411
0.5191, 111, 0.4918, 198.1322, 197.6404
0.5191, 112, 0.4936, 198.1342, 197.6406
0.5231, 113, 0.4956, 198.1361, 197.6405
0.5231, 114, 0.4977, 198.1381, 197.6403
0.5287, 115, 0.5032, 198.1437, 197.6406
0.5339, 116, 0.5048, 198.1459, 197.6411
0.5339, 117, 0.5065, 198.1469, 197.6404
0.5388, 118, 0.5085, 198.1490, 197.6405
0.5388, 119, 0.5102, 198.1510, 197.6407
0.5388, 120, 0.5123, 198.1529, 197.6407
0.5432, 121, 0.5139, 198.1544, 197.6405
0.5432, 122, 0.5159, 198.1563, 197.6405
0.5432, 123, 0.5179, 198.1583, 197.6404
0.5494, 124, 0.5232, 198.1640, 197.6409
0.5542, 125, 0.5248, 198.1652, 197.6404
0.5542, 126, 0.5264, 198.1671, 197.6408
0.5542, 127, 0.5280, 198.1691, 197.6411
0.5592, 128, 0.5296, 198.1703, 197.6407
0.5592, 129, 0.5312, 198.1723, 197.6411
0.5592, 130, 0.5328, 198.1732, 197.6404
0.5616, 131, 0.5344, 198.1757, 197.6413
0.5616, 132, 0.5363, 198.1767, 197.6404
0.5690, 133, 0.5430, 198.1839, 197.6409
0.5739, 134, 0.5445, 198.1851, 197.6406
0.5739, 135, 0.5460, 198.1871, 197.6411
0.5739, 136, 0.5475, 198.1880, 197.6405
0.5790, 137, 0.5494, 198.1902, 197.6408
0.5790, 138, 0.5512, 198.1921, 197.6409
0.5790, 139, 0.5531, 198.1941, 197.6410
0.5831, 140, 0.5545, 198.1953, 197.6407
0.5831, 141, 0.5564, 198.1972, 197.6409
0.5831, 142, 0.5578, 198.1982, 197.6403
0.5886, 143, 0.5630, 198.2037, 197.6407
0.5938, 144, 0.5644, 198.2048, 197.6405
0.5938, 145, 0.5658, 198.2068, 197.6410
0.5938, 146, 0.5676, 198.2087, 197.6412
0.5989, 147, 0.5691, 198.2101, 197.6410
0.5989, 148, 0.5705, 198.2110, 197.6406
0.5989, 149, 0.5722, 198.2130, 197.6408
0.6027, 150, 0.5739, 198.2149, 197.6410
0.6027, 151, 0.5757, 198.2168, 197.6411
0.6027, 152, 0.5775, 198.2178, 197.6403
0.6088, 153, 0.5829, 198.2238, 197.6409
0.6140, 154, 0.5843, 198.2252, 197.6409
0.6140, 155, 0.5856, 198.2262, 197.6406
0.6140, 156, 0.5870, 198.2281, 197.6411
0.6140, 157, 0.5884, 198.2291, 197.6407
0.6193, 158, 0.5897, 198.2305, 197.6408
0.6193, 159, 0.5914, 198.2325, 197.6411
0.6193, 160, 0.5931, 198.2334, 197.6403
0.6228, 161, 0.5945, 198.2350, 197.6404
